City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,trincomalee,8.5711,81.2335,27.94,87,12,2.38,LK,1699675258
83,atafu village,-8.5421,-172.5159,29.39,72,6,4.57,TK,1699675258
84,west island,-12.1568,96.8225,28.99,70,40,5.66,CC,1699675259
85,mount darwin,-16.7725,31.5838,18.07,75,4,3.22,ZW,1699675259
86,edinburg,55.9521,-3.1965,6.17,84,83,0.89,GB,1699675179
87,kourou,5.1552,-52.6478,26.49,86,22,3.69,GF,1699675259
88,yellowknife,62.456,-114.3525,1.9,100,75,3.09,CA,1699675005
89,ust-nera,64.5667,143.2,-27.65,95,14,2.2,RU,1699675259
90,nanping,26.645,118.1736,19.74,85,96,1.49,CN,1699675259
91,sao tome,0.3365,6.7273,25.87,87,100,6.46,ST,1699675260
92,hermanus,-34.4187,19.2345,15.87,83,100,0.94,ZA,1699675260
93,bataipora,-22.2953,-53.2711,28.39,43,84,3.33,BR,1699675260
94,ushuaia,-54.8,-68.3,4.81,87,100,2.06,AR,1699675001
95,lahij,13.1667,44.5833,23.12,67,13,1.32,YE,1699675260
96,kruisfontein,-34.0033,24.7314,17.03,86,51,9.79,ZA,1699675260
97,nikolayevsk-on-amure,53.1406,140.73,-7.2,74,100,5.07,RU,1699675260
98,pachino,36.7186,15.0907,19.46,70,100,9.92,IT,1699675261
99,iqaluit,63.7506,-68.5145,-6.15,79,100,4.63,CA,1699675211
100,polyarnyy,69.1989,33.4478,-1.33,86,87,7.03,RU,1699675261
101,blackmans bay,-43.0167,147.3167,16.07,41,32,4.85,AU,1699675261
102,bilibino,68.0546,166.4372,-23.56,100,81,2.36,RU,1699675261
103,la passe,45.5549,-0.8967,9.13,74,100,2.38,FR,1699675261
104,madras,13.0878,80.2785,29.98,72,40,3.09,IN,1699675158
105,bonthe,7.5264,-12.505,25.33,89,99,2.69,SL,1699675262
106,diego de almagro,-26.3667,-70.05,15.91,52,0,1.32,CL,1699675262
107,bereznik,62.8551,42.7072,1.93,97,100,3.48,RU,1699675262
108,ivdel',60.6911,60.4206,2.33,91,100,1.34,RU,1699675263
109,villarejo de salvanes,40.1666,-3.2728,12.12,96,97,7.93,ES,1699675263
110,san sebastian de la gomera,28.0916,-17.1133,23.2,56,0,4.63,ES,1699675263
111,alpine,32.835,-116.7664,14.77,32,0,0.0,US,1699675149
112,boguchany,58.3814,97.4531,-8.97,71,17,1.34,RU,1699675264
113,tazovsky,67.4667,78.7,-9.5,96,100,2.33,RU,1699675264
114,gounou gaya,9.6294,15.5132,26.13,64,100,1.98,TD,1699675264
115,invercargill,-46.4,168.35,18.9,57,2,4.02,NZ,1699675264
116,coquimbo,-29.9533,-71.3436,15.85,88,100,2.06,CL,1699674796
117,fisterra,42.9049,-9.2629,16.53,95,100,9.87,ES,1699675265
118,kapuskasing,49.4169,-82.4331,-2.95,93,100,3.09,CA,1699675212
119,vilyuchinsk,52.9306,158.4028,2.15,100,100,0.56,RU,1699675265
120,klyuchi,52.2667,79.1667,4.74,77,100,5.54,RU,1699675265
121,keflavik,64.0049,-22.5624,2.24,93,75,3.09,IS,1699675266
122,jamsankoski,61.919,25.1701,2.27,96,100,3.01,FI,1699675266
123,alvorada,-12.48,-49.1247,26.96,45,19,0.27,BR,1699675266
124,saint-denis,48.9167,2.3333,7.09,96,100,3.6,FR,1699675266
125,port alfred,-33.5906,26.891,18.99,88,69,3.58,ZA,1699675266
126,ha'il,27.5219,41.6907,13.01,62,0,2.06,SA,1699675267
127,east london,-33.0153,27.9116,18.52,88,40,7.13,ZA,1699675267
128,toliara,-23.35,43.6667,21.64,68,0,9.21,MG,1699675267
129,hinton,53.4001,-117.5857,-1.43,82,78,2.44,CA,1699675267
130,istgah-e rah ahan-e garmsar,35.2346,52.3094,15.83,50,70,1.68,IR,1699675267
131,sao joao da barra,-21.6403,-41.0511,22.12,91,2,0.79,BR,1699675105
132,salym,60.0625,71.4789,1.19,96,100,2.43,RU,1699675268
133,khanty-mansiysk,61.0042,69.0019,-0.94,100,100,3.13,RU,1699675268
134,puerto natales,-51.7236,-72.4875,4.35,95,100,2.46,CL,1699675268
135,iskateley,67.6803,53.1512,-8.88,93,97,3.13,RU,1699675268
136,mornington,-38.2167,145.0333,20.81,57,98,7.4,AU,1699675268
137,el calafate,-50.3408,-72.2768,8.46,76,99,3.77,AR,1699675268
138,ugoofaaru,5.6667,73.0,27.98,77,73,2.99,MV,1699675203
139,qamdo,31.1667,97.2333,2.39,37,99,2.51,CN,1699675269
140,severo-yeniseyskiy,60.3725,93.0408,-9.62,72,79,1.29,RU,1699675269
141,wacheng,33.7833,114.5167,2.27,97,100,4.11,CN,1699675269
142,jayapura,-2.5333,140.7,34.66,74,100,3.82,ID,1699675269
143,whitehorse,60.7161,-135.0538,-0.55,100,100,1.03,CA,1699675270
144,anadyr,64.75,177.4833,-15.72,85,0,4.0,RU,1699675270
145,betio village,1.358,172.9211,31.02,88,100,1.62,KI,1699675270
146,avarua,-21.2078,-159.775,26.03,83,100,1.54,CK,1699675271
147,bredasdorp,-34.5322,20.0403,16.37,75,100,2.1,ZA,1699675271
148,mormugao,15.4,73.8,27.59,65,75,3.6,IN,1699675271
149,ola,59.5833,151.2833,-12.92,74,41,5.62,RU,1699675271
150,gardner,42.5751,-71.9981,4.71,73,2,0.45,US,1699675260
151,lazarevskoye,43.9061,39.3331,13.41,32,99,3.14,RU,1699675271
152,noumea,-22.2763,166.4572,25.99,70,85,8.34,NC,1699675012
153,mili,6.0815,171.735,27.5,86,100,6.24,MH,1699675272
154,st. john's,47.5649,-52.7093,2.76,92,100,9.26,CA,1699675041
155,mejit,10.2753,170.8646,27.85,82,100,9.17,MH,1699675273
156,port elizabeth,-33.918,25.5701,18.16,86,0,14.4,ZA,1699675273
157,lompoc,34.6391,-120.4579,12.66,89,0,3.09,US,1699675273
158,thohoyandou,-22.9456,30.485,18.35,75,0,0.32,ZA,1699675273
159,copiapo,-27.3667,-70.3333,13.83,61,0,0.47,CL,1699675168
160,bargaal,11.2864,51.0773,27.2,78,97,4.6,SO,1699675274
161,abbeville,50.1,1.8333,9.98,85,21,3.04,FR,1699675274
162,laojunmiao,39.8333,97.7333,-1.15,27,0,4.34,CN,1699675275
163,suva,-18.1416,178.4415,25.71,78,75,6.17,FJ,1699675276
164,stanley,54.868,-1.6985,4.74,88,40,4.12,GB,1699675276
165,kargasok,59.0556,80.8572,-2.24,95,100,4.92,RU,1699675276
166,argostolion,38.1811,20.489,19.16,79,84,10.52,GR,1699675276
167,weno,7.4515,151.8468,29.97,79,100,3.6,FM,1699675277
168,lihue,21.9789,-159.3672,27.58,83,29,5.98,US,1699675277
169,langfang,39.5097,116.6947,4.95,20,7,3.46,CN,1699675178
170,jose pedro varela,-33.45,-54.5333,16.54,97,100,7.83,UY,1699675277
171,hammerfest,70.6634,23.6821,1.25,93,75,5.66,NO,1699675277
172,argo,37.6333,22.7333,16.35,84,82,1.77,GR,1699675277
173,kiunga,-6.1219,141.2906,34.78,43,88,1.0,PG,1699675278
174,urengoy,65.9667,78.3667,-5.76,94,100,2.54,RU,1699675278
175,fale old settlement,-9.3852,-171.2468,29.14,75,25,4.62,TK,1699675278
176,namibe,-15.1961,12.1522,19.34,77,66,0.29,AO,1699675278
177,san jose temascatio,20.6833,-101.2667,17.02,84,100,1.2,MX,1699675279
178,udachny,66.4167,112.4,-5.86,44,98,8.85,RU,1699675279
179,kodiak,57.79,-152.4072,0.8,64,31,8.36,US,1699675279
180,al bayda',32.7627,21.7551,16.02,50,0,4.55,LY,1699675279
181,touros,-5.1989,-35.4608,25.19,78,5,5.62,BR,1699675280
182,demidov,55.2706,31.515,3.96,89,100,4.06,RU,1699675280
183,ibotirama,-12.1853,-43.2206,24.02,46,1,0.5,BR,1699675280
184,itaituba,-4.2761,-55.9836,26.74,69,66,0.75,BR,1699675280
185,aflou,34.1128,2.1023,6.87,77,24,8.12,DZ,1699675281
186,tadine,-21.55,167.8833,23.05,72,87,9.45,NC,1699675281
187,portland,45.5234,-122.6762,11.02,89,100,3.13,US,1699674674
188,chibougamau,49.9168,-74.3659,-7.21,93,100,3.09,CA,1699675281
189,zhangye,38.9342,100.4517,0.99,27,0,1.03,CN,1699675281
190,port macquarie,-31.4333,152.9167,24.94,64,0,7.82,AU,1699675198
191,taroa,8.7058,171.2275,27.23,85,100,9.02,MH,1699675281
192,seme,15.1942,-12.9448,26.74,19,67,3.17,SN,1699675282
193,tromso,69.6496,18.957,-3.99,93,20,1.54,NO,1699675033
194,salinas,36.6777,-121.6555,14.2,70,0,2.06,US,1699675282
195,yuzhno-kurilsk,44.0306,145.8556,5.76,88,65,12.56,RU,1699675282
196,porto velho,-8.7619,-63.9039,26.03,89,0,1.03,BR,1699675121
197,sinabang,2.4803,96.3801,27.78,75,100,0.35,ID,1699675282
198,nantucket,41.2835,-70.0995,8.9,64,20,8.57,US,1699675283
199,el granada,37.5027,-122.4694,16.68,60,0,5.14,US,1699674991
200,roxas,11.5853,122.7511,28.41,72,56,3.35,PH,1699675283
201,ciudad melchor muzquiz,27.8833,-101.5167,14.18,75,100,1.18,MX,1699675283
202,yakeshi,49.2833,120.7333,-14.4,85,99,3.06,CN,1699675271
203,greenland,43.0362,-70.8328,6.17,78,75,2.57,US,1699675253
204,ataq,14.5377,46.8319,19.34,34,6,1.44,YE,1699675283
205,natal,-5.795,-35.2094,26.12,78,20,4.12,BR,1699675099
206,hasaki,35.7333,140.8333,14.22,61,100,10.29,JP,1699675284
207,vieste,41.8825,16.175,15.95,65,57,10.54,IT,1699675284
208,lambarene,-0.7001,10.2406,23.08,99,100,0.64,GA,1699675284
209,yung shue wan,22.2333,114.1167,25.68,86,77,0.45,HK,1699675162
210,troitsko-pechorsk,62.7084,56.1964,-1.28,94,100,3.13,RU,1699675285
211,eureka,40.8021,-124.1637,11.81,87,100,0.45,US,1699675218
212,uliastay,47.7417,96.8444,-9.82,69,2,1.46,MN,1699675285
213,salinopolis,-0.6136,-47.3561,27.37,77,17,6.27,BR,1699675285
214,tura,25.5198,90.2201,25.19,61,0,0.23,IN,1699675286
215,ghadamis,30.1337,9.5007,16.77,58,27,2.36,LY,1699675286
216,bulawayo,-20.15,28.5833,14.92,66,26,2.75,ZW,1699675231
217,pisco,-13.7,-76.2167,18.03,88,0,5.14,PE,1699675286
218,wenling,28.3669,121.36,14.56,87,100,2.98,CN,1699675256
219,makoua,0.0069,15.6333,21.87,99,100,0.78,CG,1699675287
220,ad dilam,23.9915,47.1627,20.23,31,100,1.27,SA,1699675287
221,quebo,11.3333,-14.9333,22.89,73,100,1.06,GW,1699675287
222,west bay,19.3667,-81.4167,29.04,88,20,4.12,KY,1699675241
223,lone grove,34.1754,-97.2628,10.82,58,0,1.54,US,1699675287
224,derazhnya,49.2692,27.4338,8.72,87,99,7.48,UA,1699675288
225,port lincoln,-34.7333,135.8667,16.61,55,92,8.28,AU,1699675288
226,prainha,-1.8,-53.48,26.79,73,5,2.4,BR,1699675288
227,guozhen,34.3659,107.359,4.83,95,100,0.5,CN,1699675288
228,praia da vitoria,38.7333,-27.0667,20.14,83,40,6.11,PT,1699675288
229,camana,-16.6228,-72.7111,19.78,90,75,2.8,PE,1699675289
230,new norfolk,-42.7826,147.0587,16.72,38,29,4.26,AU,1699675289
231,baiyin,36.5583,104.2081,2.04,31,6,4.95,CN,1699675289
232,beledweyne,4.7358,45.2036,24.48,86,100,3.98,SO,1699675289
233,jalalpur pirwala,29.5069,71.2192,22.17,52,0,4.54,PK,1699675289
234,yangiobod,41.1192,70.0941,11.16,21,92,2.09,UZ,1699675290
235,peace river,56.2501,-117.286,2.17,69,20,1.54,CA,1699675155
236,luanda,-8.8368,13.2343,25.0,88,75,2.57,AO,1699675290
237,springbok,-29.6643,17.8865,13.58,67,4,1.94,ZA,1699675290
238,dalhart,36.0595,-102.5133,5.27,71,53,5.13,US,1699675290
239,katsuura,35.1333,140.3,14.28,67,100,7.71,JP,1699675290
240,caluula,11.9661,50.7569,26.88,78,86,4.64,SO,1699675291
241,susuman,62.7833,148.1667,-25.55,98,89,0.71,RU,1699675291
242,staporkow,51.1376,20.5717,6.68,94,100,0.64,PL,1699675291
243,puerto aysen,-45.4,-72.7,6.9,99,100,1.69,CL,1699675291
244,richards bay,-28.783,32.0377,20.47,82,1,8.39,ZA,1699675291
245,robertsport,6.7533,-11.3686,26.3,82,100,1.76,LR,1699675292
246,donggongon,5.907,116.1015,31.96,70,20,2.57,MY,1699675292
247,seaside,36.6111,-121.8516,13.41,71,56,0.89,US,1699675292
248,xiaoweizhai,26.1903,107.5125,13.03,96,100,1.74,CN,1699675292
249,elliot lake,46.3834,-82.6331,-3.27,89,94,1.31,CA,1699675292
250,nakhodka,42.8333,132.8947,-3.34,40,15,5.61,RU,1699675292
251,canutama,-6.5339,-64.3831,28.32,57,51,1.44,BR,1699675293
252,sussex,41.1834,-74.6663,6.49,85,100,1.54,US,1699675293
